BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
KY,V,2014,1412.0
KY,H,2016,0.0
KY,V,2016,0.0
KY,H,2011,0.0
KY,V,2011,0.0
KY,H,2006,909.0
KY,V,2006,390.0
KY,H,2007,469.0
KY,V,2007,202.0
KY,H,2010,362.0
KY,V,2010,156.0
KY,H,2015,0.0
KY,V,2015,0.0
KY,H,2008,0.0
KY,V,2008,0.0
KY,H,2009,603.0
KY,V,2009,259.0
KY,H,2012,329.0
KY,V,2012,142.0
KY,H,2013,964.0
KY,V,2013,414.0
KY,H,2020,0.0
KY,V,2020,0.0
KY,H,2017,0.0
KY,V,2017,0.0
KY,H,2018,0.0
KY,V,2018,0.0
KY,H,2019,1967.0
KY,V,2019,846.0
LA,H,1998,3266.0
LA,D,1998,86.0
LA,V,1998,89.0
LA,H,1993,1571.0
LA,D,1993,41.0
LA,V,1993,43.0
LA,H,2006,0.0
LA,D,2006,0.0
LA,V,2006,0.0
LA,H,2007,651.0
LA,D,2007,17.0
LA,V,2007,18.0
LA,H,2008,1014.0
LA,D,2008,27.0
LA,V,2008,28.0
LA,H,2013,0.0
LA,D,2013,0.0
LA,V,2013,0.0
LA,H,2014,0.0
LA,D,2014,0.0
LA,V,2014,0.0
LA,H,2002,712.0
LA,D,2002,19.0
LA,V,2002,19.0
LA,H,2003,0.0
LA,D,2003,0.0
LA,V,2003,0.0
LA,H,2004,3602.0
LA,D,2004,95.0
LA,V,2004,98.0
LA,H,2005,0.0
LA,D,2005,0.0
LA,V,2005,0.0
LA,H,2019,0.0
LA,D,2019,0.0
LA,V,2019,0.0
LA,H,2020,0.0
LA,D,2020,0.0
LA,V,2020,0.0
LA,H,2016,0.0
LA,D,2016,0.0
LA,V,2016,0.0
LA,H,2009,0.0
LA,D,2009,0.0
LA,V,2009,0.0
LA,H,2010,263.0
LA,D,2010,7.0
LA,V,2010,7.0
LA,H,2011,172.0
LA,D,2011,5.0
LA,V,2011,5.0
LA,H,2012,26.0
LA,D,2012,1.0
LA,V,2012,1.0
LA,H,1995,1149.0
LA,D,1995,30.0
LA,V,1995,31.0
LA,H,1996,1069.0
LA,D,1996,28.0
LA,V,1996,29.0
LA,H,1999,0.0
LA,D,1999,0.0
LA,V,1999,0.0
LA,H,2000,0.0
LA,D,2000,0.0
LA,V,2000,0.0
LA,H,2001,617.0
LA,D,2001,16.0
LA,V,2001,17.0
LA,H,2017,0.0
LA,D,2017,0.0
LA,V,2017,0.0
LA,H,2018,0.0
LA,D,2018,0.0
LA,V,2018,0.0
LA,H,2015,0.0
LA,D,2015,0.0
LA,V,2015,0.0
LA,H,1994,0.0
LA,D,1994,0.0
LA,V,1994,0.0
LA,H,1997,0.0
LA,D,1997,0.0
LA,V,1997,0.0
MD,D,2008,0.0
MD,V,2008,0.0
MD,H,2008,0.0
MD,D,2009,0.0
MD,V,2009,0.0
MD,H,2009,0.0
