BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
CA,AZ,1994,0.0
CA,AZ,1995,0.0
CA,AZ,1996,0.0
CA,AZ,1997,0.0
CA,AZ,1998,0.0
CA,AZ,1999,0.0
CA,AZ,2000,0.0
CA,AZ,2001,0.0
CA,AZ,2002,0.0
CA,AZ,2003,0.0
CA,AZ,2004,0.0
CA,AZ,2005,0.0
CA,AZ,2006,0.0
CA,AZ,2007,636718.0
CA,AZ,2008,0.0
CA,AZ,2009,0.0
CA,AZ,2010,83997.0
CA,AZ,2011,0.0
CA,AZ,2012,0.0
CA,AZ,2013,0.0
CA,AZ,2014,0.0
CA,AZ,2015,0.0
CA,AZ,2016,0.0
CA,AZ,2017,0.0
CA,AZ,2018,0.0
CA,AZ,2019,0.0
CA,AZ,2020,0.0
CA,AZ,2021,0.0
CA,AZ,2022,0.0
CA,NV,1990,0.0
CA,NV,1994,0.0
CA,NV,1995,111996.0
CA,NV,1996,0.0
CA,NV,1997,0.0
CA,NV,1998,0.0
CA,NV,1999,0.0
CA,NV,2000,0.0
CA,NV,2001,0.0
CA,NV,2002,55998.0
CA,NV,2003,0.0
CA,NV,2004,0.0
CA,NV,2005,0.0
CA,NV,2006,0.0
CA,NV,2007,0.0
CA,NV,2008,0.0
CA,NV,2009,0.0
CA,NV,2010,0.0
CA,NV,2011,0.0
CA,NV,2012,0.0
CA,NV,2013,0.0
CA,NV,2014,0.0
CA,NV,2015,0.0
CA,NV,2016,0.0
CA,NV,2017,0.0
CA,NV,2018,0.0
CA,NV,2019,0.0
CA,NV,2020,0.0
CA,NV,2021,15555.0
CA,NV,2022,0.0
CO,KS,1990,435540.0
CO,KS,1994,31110.0
CO,KS,1995,0.0
CO,KS,1996,0.0
CO,KS,1997,31110.0
CO,KS,1998,0.0
CO,KS,1999,0.0
CO,KS,2000,89182.0
CO,KS,2001,0.0
CO,KS,2002,0.0
CO,KS,2003,0.0
CO,KS,2004,580720.0
CO,KS,2005,284138.0
CO,KS,2006,0.0
CO,KS,2007,30073.0
CO,KS,2008,93330.0
CO,KS,2009,0.0
CO,KS,2010,0.0
CO,KS,2011,0.0
CO,KS,2012,0.0
CO,KS,2013,0.0
CO,KS,2014,0.0
CO,KS,2015,0.0
CO,KS,2016,0.0
CO,KS,2017,0.0
CO,KS,2018,0.0
CO,KS,2019,0.0
CO,KS,2020,0.0
CO,KS,2021,0.0
CO,KS,2022,0.0
CO,NE,1990,442799.0
CO,NE,1994,0.0
CO,NE,1995,0.0
CO,NE,1996,0.0
CO,NE,1997,497760.0
CO,NE,1998,0.0
CO,NE,1999,0.0
CO,NE,2000,0.0
CO,NE,2001,0.0
CO,NE,2002,335988.0
CO,NE,2003,0.0
CO,NE,2004,64294.0
CO,NE,2005,0.0
CO,NE,2006,0.0
CO,NE,2007,0.0
CO,NE,2008,1555500.0
CO,NE,2009,311100.0
CO,NE,2010,0.0
CO,NE,2011,0.0
CO,NE,2012,0.0
CO,NE,2013,0.0
CO,NE,2014,0.0
CO,NE,2015,0.0
CO,NE,2016,0.0
CO,NE,2017,0.0
CO,NE,2018,0.0
CO,NE,2019,0.0
CO,NE,2020,0.0
CO,NE,2021,0.0
CO,NE,2022,0.0
CO,NM,1990,614941.0
CO,NM,1994,402356.0
CO,NM,1995,54961.0
CO,NM,1996,255102.0
CO,NM,1997,0.0
CO,NM,1998,145180.0
CO,NM,1999,311100.0
CO,NM,2000,0.0
CO,NM,2001,0.0
CO,NM,2002,0.0
CO,NM,2003,0.0
CO,NM,2004,282064.0
CO,NM,2005,0.0
CO,NM,2006,0.0
CO,NM,2007,0.0
CO,NM,2008,0.0
CO,NM,2009,0.0
CO,NM,2010,0.0
CO,NM,2011,0.0
CO,NM,2012,0.0
CO,NM,2013,0.0
CO,NM,2014,0.0
CO,NM,2015,0.0
CO,NM,2016,0.0
CO,NM,2017,0.0
CO,NM,2018,0.0
CO,NM,2019,0.0
CO,NM,2020,0.0
CO,NM,2021,0.0
CO,NM,2022,0.0
CO,OK,1990,207400.0
CO,OK,1994,51850.0
CO,OK,1995,0.0
CO,OK,1996,0.0
CO,OK,1997,0.0
CO,OK,1998,0.0
CO,OK,1999,0.0
CO,OK,2000,0.0
CO,OK,2001,86071.0
CO,OK,2002,49776.0
CO,OK,2003,0.0
CO,OK,2004,0.0
CO,OK,2005,107848.0
CO,OK,2006,0.0
CO,OK,2007,30073.0
CO,OK,2008,0.0
CO,OK,2009,0.0
CO,OK,2010,0.0
CO,OK,2011,0.0
CO,OK,2012,0.0
CO,OK,2013,0.0
CO,OK,2014,0.0
CO,OK,2015,0.0
CO,OK,2016,0.0
CO,OK,2017,0.0
CO,OK,2018,0.0
CO,OK,2019,0.0
CO,OK,2020,0.0
CO,OK,2021,0.0
CO,OK,2022,0.0
CO,UT,1990,428281.0
CO,UT,1994,0.0
CO,UT,1995,0.0
CO,UT,1996,0.0
CO,UT,1997,0.0
CO,UT,1998,0.0
CO,UT,1999,0.0
CO,UT,2000,0.0
CO,UT,2001,0.0
CO,UT,2002,0.0
CO,UT,2003,0.0
CO,UT,2004,0.0
CO,UT,2005,0.0
CO,UT,2006,0.0
CO,UT,2007,0.0
CO,UT,2008,0.0
CO,UT,2009,0.0
CO,UT,2010,155550.0
CO,UT,2011,0.0
CO,UT,2012,0.0
CO,UT,2013,0.0
CO,UT,2014,0.0
CO,UT,2015,0.0
CO,UT,2016,0.0
CO,UT,2017,0.0
CO,UT,2018,0.0
CO,UT,2019,0.0
CO,UT,2020,0.0
CO,UT,2021,0.0
CO,UT,2022,0.0
CO,WY,1990,463539.0
CO,WY,1994,309026.0
CO,WY,1995,0.0
CO,WY,1996,0.0
CO,WY,1997,108885.0
CO,WY,1998,0.0
CO,WY,1999,0.0
CO,WY,2000,0.0
CO,WY,2001,0.0
CO,WY,2002,335988.0
CO,WY,2003,0.0
CO,WY,2004,0.0
CO,WY,2005,0.0
CO,WY,2006,1131367.0
CO,WY,2007,674050.0
CO,WY,2008,1555500.0
CO,WY,2009,311100.0
CO,WY,2010,0.0
CO,WY,2011,0.0
CO,WY,2012,0.0
CO,WY,2013,0.0
CO,WY,2014,0.0
CO,WY,2015,0.0
CO,WY,2016,0.0
CO,WY,2017,0.0
CO,WY,2018,0.0
CO,WY,2019,0.0
CO,WY,2020,0.0
CO,WY,2021,0.0
CO,WY,2022,0.0
CT,MA,1990,82960.0
CT,MA,1994,0.0
CT,MA,1995,0.0
CT,MA,1996,0.0
CT,MA,1997,0.0
CT,MA,1998,0.0
CT,MA,1999,0.0
CT,MA,2000,0.0
CT,MA,2001,0.0
CT,MA,2002,0.0
CT,MA,2003,0.0
CT,MA,2004,0.0
CT,MA,2005,0.0
CT,MA,2006,0.0
CT,MA,2007,0.0
CT,MA,2008,0.0
CT,MA,2009,0.0
CT,MA,2010,0.0
CT,MA,2011,0.0
CT,MA,2012,0.0
CT,MA,2013,0.0
CT,MA,2014,0.0
CT,MA,2015,0.0
CT,MA,2016,0.0
CT,MA,2017,0.0
CT,MA,2018,0.0
CT,MA,2019,0.0
CT,MA,2020,0.0
CT,MA,2021,46665.0
CT,MA,2022,0.0
CT,NY,1990,0.0
CT,NY,1994,259250.0
CT,NY,1995,0.0
CT,NY,1996,0.0
CT,NY,1997,0.0
CT,NY,1998,36295.0
CT,NY,1999,0.0
CT,NY,2000,0.0
CT,NY,2001,0.0
CT,NY,2002,81923.0
CT,NY,2003,0.0
CT,NY,2004,58072.0
CT,NY,2005,0.0
CT,NY,2006,0.0
CT,NY,2007,0.0
CT,NY,2008,103700.0
CT,NY,2009,103700.0
CT,NY,2010,285175.0
CT,NY,2011,0.0
CT,NY,2012,0.0
CT,NY,2013,0.0
CT,NY,2014,0.0
CT,NY,2015,0.0
CT,NY,2016,0.0
CT,NY,2017,0.0
CT,NY,2018,0.0
CT,NY,2019,0.0
CT,NY,2020,0.0
CT,NY,2021,0.0
CT,NY,2022,0.0
CT,RI,1990,689605.0
CT,RI,1994,98515.0
CT,RI,1995,0.0
CT,RI,1996,0.0
CT,RI,1997,0.0
CT,RI,1998,0.0
CT,RI,1999,0.0
CT,RI,2000,0.0
CT,RI,2001,0.0
CT,RI,2002,0.0
CT,RI,2003,0.0
CT,RI,2004,0.0
CT,RI,2005,0.0
CT,RI,2006,0.0
CT,RI,2007,0.0
CT,RI,2008,0.0
CT,RI,2009,0.0
CT,RI,2010,0.0
CT,RI,2011,0.0
CT,RI,2012,0.0
CT,RI,2013,0.0
CT,RI,2014,0.0
CT,RI,2015,0.0
CT,RI,2016,354654.0
CT,RI,2017,41480.0
CT,RI,2018,0.0
CT,RI,2019,0.0
CT,RI,2020,0.0
CT,RI,2021,96441.0
CT,RI,2022,0.0
DE,MD,1990,10370.0
DE,MD,1994,0.0
DE,MD,1995,0.0
DE,MD,1996,0.0
DE,MD,1997,5185.0
DE,MD,1998,1037.0
DE,MD,1999,0.0
