BLD_YRS_FOR_GAS_STORAGE_TYPE_1,BLD_YRS_FOR_GAS_STORAGE_TYPE_2,BLD_YRS_FOR_GAS_STORAGE_TYPE_3,BuildStorageCap
LA,depleted field,2019,0.0
LA,depleted field,2020,0.0
LA,depleted field,2021,8847684.0
LA,depleted field,2022,0.0
LA,salt cavern,1999,24656895.2956082
LA,salt cavern,2000,3756152.0839189
LA,salt cavern,2001,5610770.50162281
LA,salt cavern,2002,7532096.53830343
LA,salt cavern,2003,3341245.35489897
LA,salt cavern,2004,1515215.91675652
LA,salt cavern,2005,0.0
LA,salt cavern,2006,3976800.36207261
LA,salt cavern,2007,0.0
LA,salt cavern,2008,14562400.2625996
LA,salt cavern,2009,27850709.0
LA,salt cavern,2010,16418821.0
LA,salt cavern,2011,11955573.0
LA,salt cavern,2012,92140561.0
LA,salt cavern,2013,0.0
LA,salt cavern,2014,7183299.0
LA,salt cavern,2015,4033930.0
LA,salt cavern,2016,0.0
LA,salt cavern,2017,2280363.0
LA,salt cavern,2018,0.0
LA,salt cavern,2019,0.0
LA,salt cavern,2020,4593910.0
LA,salt cavern,2021,1980670.0
LA,salt cavern,2022,0.0
MD,depleted field,1999,18384065.625
MD,depleted field,2000,0.0
MD,depleted field,2001,0.0
MD,depleted field,2002,0.0
MD,depleted field,2003,0.0
MD,depleted field,2004,0.0
MD,depleted field,2005,0.0
MD,depleted field,2006,593034.375
MD,depleted field,2007,0.0
MD,depleted field,2008,0.0
MD,depleted field,2009,1037000.0
MD,depleted field,2010,0.0
MD,depleted field,2011,0.0
MD,depleted field,2012,0.0
MD,depleted field,2013,0.0
MD,depleted field,2014,0.0
MD,depleted field,2015,0.0
MD,depleted field,2016,0.0
MD,depleted field,2017,0.0
MD,depleted field,2018,0.0
MD,depleted field,2019,0.0
MD,depleted field,2020,0.0
MD,depleted field,2021,0.0
MD,depleted field,2022,0.0
MD,salt cavern,1999,0.0
MD,salt cavern,2000,0.0
MD,salt cavern,2001,0.0
MD,salt cavern,2002,0.0
MD,salt cavern,2003,0.0
MD,salt cavern,2004,0.0
MD,salt cavern,2005,0.0
MD,salt cavern,2006,0.0
MD,salt cavern,2007,0.0
MD,salt cavern,2008,0.0
MD,salt cavern,2009,0.0
MD,salt cavern,2010,0.0
MD,salt cavern,2011,0.0
MD,salt cavern,2012,0.0
MD,salt cavern,2013,0.0
MD,salt cavern,2014,0.0
MD,salt cavern,2015,0.0
MD,salt cavern,2016,0.0
MD,salt cavern,2017,0.0
MD,salt cavern,2018,0.0
MD,salt cavern,2019,0.0
MD,salt cavern,2020,0.0
MD,salt cavern,2021,0.0
MD,salt cavern,2022,0.0
MI,aquifer,1999,10320224.0
MI,aquifer,2000,0.0
MI,aquifer,2001,0.0
MI,aquifer,2002,0.0
MI,aquifer,2003,0.0
MI,aquifer,2004,0.0
MI,aquifer,2005,0.0
MI,aquifer,2006,0.0
MI,aquifer,2007,0.0
MI,aquifer,2008,0.0
MI,aquifer,2009,0.0
MI,aquifer,2010,0.0
MI,aquifer,2011,0.0
MI,aquifer,2012,0.0
MI,aquifer,2013,0.0
MI,aquifer,2014,0.0
MI,aquifer,2015,0.0
MI,aquifer,2016,0.0
MI,aquifer,2017,0.0
MI,aquifer,2018,0.0
MI,aquifer,2019,0.0
MI,aquifer,2020,0.0
MI,aquifer,2021,0.0
MI,aquifer,2022,0.0
MI,depleted field,1999,686749917.519626
MI,depleted field,2000,0.0
MI,depleted field,2001,21249861.945961
MI,depleted field,2002,0.0
MI,depleted field,2003,0.0
MI,depleted field,2004,0.0
MI,depleted field,2005,7661050.77698946
MI,depleted field,2006,6398669.6253562
MI,depleted field,2007,19376159.8064171
MI,depleted field,2008,0.0
MI,depleted field,2009,3933341.0
MI,depleted field,2010,435540.0
MI,depleted field,2011,5772979.0
MI,depleted field,2012,589016.0
MI,depleted field,2013,1832379.0
MI,depleted field,2014,37332.0
MI,depleted field,2015,11119751.0
MI,depleted field,2016,0.0
MI,depleted field,2017,0.0
MI,depleted field,2018,0.0
MI,depleted field,2019,0.0
MI,depleted field,2020,0.0
MI,depleted field,2021,0.0
MI,depleted field,2022,0.0
MI,salt cavern,1999,2168717.5491758
MI,salt cavern,2000,0.0
MI,salt cavern,2001,27459.5163823445
MI,salt cavern,2002,0.0
MI,salt cavern,2003,44986.8672646922
MI,salt cavern,2004,0.0
MI,salt cavern,2005,12269.1456176434
MI,salt cavern,2006,3505.47017646953
MI,salt cavern,2007,7595.18538235035
MI,salt cavern,2008,0.0
MI,salt cavern,2009,0.0
MI,salt cavern,2010,9333.0
MI,salt cavern,2011,0.0
MI,salt cavern,2012,0.0
MI,salt cavern,2013,0.0
MI,salt cavern,2014,0.0
MI,salt cavern,2015,0.0
MI,salt cavern,2016,0.0
MI,salt cavern,2017,1037.0
MI,salt cavern,2018,0.0
MI,salt cavern,2019,0.0
MI,salt cavern,2020,0.0
MI,salt cavern,2021,0.0
MI,salt cavern,2022,1037.0
MN,aquifer,1999,2074000.0
MN,aquifer,2000,0.0
MN,aquifer,2001,0.0
MN,aquifer,2002,0.0
MN,aquifer,2003,0.0
MN,aquifer,2004,0.0
MN,aquifer,2005,0.0
MN,aquifer,2006,0.0
MN,aquifer,2007,0.0
MN,aquifer,2008,0.0
MN,aquifer,2009,0.0
MN,aquifer,2010,0.0
MN,aquifer,2011,0.0
MN,aquifer,2012,0.0
MN,aquifer,2013,0.0
MN,aquifer,2014,0.0
MN,aquifer,2015,0.0
MN,aquifer,2016,0.0
MN,aquifer,2017,0.0
MN,aquifer,2018,0.0
MN,aquifer,2019,0.0
MN,aquifer,2020,0.0
MN,aquifer,2021,0.0
MN,aquifer,2022,0.0
MS,aquifer,1999,0.0
MS,aquifer,2000,0.0
MS,aquifer,2001,0.0
MS,aquifer,2002,0.0
MS,aquifer,2003,0.0
MS,aquifer,2004,0.0
MS,aquifer,2005,0.0
MS,aquifer,2006,0.0
MS,aquifer,2007,0.0
MS,aquifer,2008,0.0
MS,aquifer,2009,0.0
MS,aquifer,2010,0.0
MS,aquifer,2011,0.0
MS,aquifer,2012,0.0
MS,aquifer,2013,0.0
MS,aquifer,2014,0.0
MS,aquifer,2015,0.0
MS,aquifer,2016,0.0
MS,aquifer,2017,0.0
MS,aquifer,2018,0.0
MS,aquifer,2019,0.0
MS,aquifer,2020,0.0
MS,aquifer,2021,0.0
MS,aquifer,2022,0.0
MS,depleted field,1999,49884959.6778984
MS,depleted field,2000,0.0
MS,depleted field,2001,182336.95481468
