gas_zone,timeseries,ShadowPrice
AZ,20230110,1.28115
AZ,20230111,1.05356
AZ,20230112,1.08877
AZ,20230113,1.06462
AZ,20230114,1.23613
AZ,20230115,1.23643
AZ,20230116,1.23673
AZ,20230117,1.06293
AZ,20230118,0.926137
AZ,20230119,1.05994
AZ,20230120,1.35524
AZ,20230121,1.52706
AZ,20230122,1.6836
AZ,20230123,1.86645
AZ,20230124,1.91559
AZ,20230125,2.07423
AZ,20230126,2.01041
AZ,20230127,2.06302
AZ,20230128,1.61964
AZ,20230129,1.49437
AZ,20230130,1.50722
AZ,20230131,2.0064
AZ,20230201,2.00603
AZ,20230202,2.01829
AZ,20230203,1.84751
AZ,20230204,1.70461
AZ,20230205,1.73682
AZ,20230206,0.521906
AZ,20230207,0.416175
AZ,20230208,0.445378
AZ,20230209,0.44507
AZ,20230210,0.427066
AZ,20230211,1.67971
AZ,20230212,1.67298
AZ,20230213,1.56767
AZ,20230214,0.455317
AZ,20230215,1.48933
AZ,20230216,1.64188
AZ,20230217,1.72532
AZ,20230218,1.74212
AZ,20230219,1.71672
AZ,20230220,0.300731
AZ,20230221,0.276956
AZ,20230222,0.248514
AZ,20230223,1.77204
AZ,20230224,1.69319
AZ,20230225,1.66704
AZ,20230226,1.64089
AZ,20230227,1.61474
AZ,20230228,1.6357
AZ,20230301,0.869711
AZ,20230302,1.56544
AZ,20230303,1.18827
AZ,20230304,0.621112
AZ,20230305,0.513272
AZ,20230306,0.473851
AZ,20230307,0.508835
AZ,20230308,0.496839
AZ,20230309,0.496587
AZ,20230310,0.437648
AZ,20230311,0.437406
AZ,20230312,0.437165
AZ,20230313,1.08722
AZ,20230314,1.1339
AZ,20230315,1.57015
AZ,20230316,0.465544
AZ,20230317,0.447743
AZ,20230318,1.47515
AZ,20230319,1.04739
AZ,20230320,1.01992
AZ,20230321,0.870438
AZ,20230322,0.218229
AZ,20230323,0.247335
AZ,20230324,0.223728
AZ,20230325,0.223549
AZ,20230326,0.22337
AZ,20230327,0.223191
AZ,20230328,0.211307
AZ,20230329,0.194573
AZ,20230330,0.189472
AZ,20230331,0.257573
AZ,20230401,0.25544
AZ,20230402,0.253307
AZ,20230403,0.251174
AZ,20230404,0.274376
AZ,20230405,0.297571
AZ,20230406,0.303225
AZ,20230407,0.298654
AZ,20230408,0.139633
AZ,20230409,0.140331
AZ,20230410,0.141029
AZ,20230411,0.137492
AZ,20230412,0.134847
AZ,20230413,0.150917
AZ,20230414,0.273092
AZ,20230415,0.15602
AZ,20230416,0.145949
AZ,20230417,0.135878
AZ,20230418,0.134123
AZ,20230419,0.13682
AZ,20230420,0.137736
AZ,20230421,0.136871
AZ,20230422,0.137193
AZ,20230423,0.137515
AZ,20230424,0.137837
AZ,20230425,0.136083
AZ,20230426,0.137887
AZ,20230427,0.139692
AZ,20230428,0.130823
AZ,20230429,0.131738
AZ,20230430,0.132654
AZ,20230501,0.133569
AZ,20230502,0.144261
AZ,20230503,0.154062
AZ,20230504,0.164096
AZ,20230505,0.30529
AZ,20230506,0.190386
AZ,20230507,0.15238
AZ,20230508,0.144408
AZ,20230509,0.135551
AZ,20230510,0.144457
AZ,20230511,0.14892
AZ,20230512,0.156934
AZ,20230513,0.14897
AZ,20230514,0.141006
AZ,20230515,0.133042
AZ,20230516,0.130397
AZ,20230517,0.133076
AZ,20230518,0.128658
AZ,20230519,0.122465
AZ,20230520,0.124553
AZ,20230521,0.12664
AZ,20230522,0.128727
AZ,20230523,0.135839
AZ,20230524,0.133195
AZ,20230525,0.134986
AZ,20230526,0.272241
AZ,20230527,0.198999
AZ,20230528,0.155869
AZ,20230529,0.150787
AZ,20230530,0.145705
AZ,20230531,0.146607
AZ,20230601,0.413951
AZ,20230602,0.452453
AZ,20230603,0.376042
AZ,20230604,0.29963
AZ,20230605,0.223218
AZ,20230606,0.19618
AZ,20230607,0.144061
AZ,20230608,0.146734
AZ,20230609,0.313389
AZ,20230610,0.292324
AZ,20230611,0.27126
AZ,20230612,0.250195
AZ,20230613,0.155665
AZ,20230614,0.217946
AZ,20230615,0.293227
AZ,20230616,0.264168
AZ,20230617,0.300335
AZ,20230618,0.556009
AZ,20230619,0.372667
AZ,20230620,0.578442
AZ,20230621,0.553251
AZ,20230622,0.344926
AZ,20230623,0.315875
AZ,20230624,0.393077
AZ,20230625,0.755228
AZ,20230626,0.658546
AZ,20230627,0.651998
AZ,20230628,0.674834
AZ,20230629,0.901927
AZ,20230630,1.22267
AZ,20230701,1.86786
AZ,20230702,0.763861
AZ,20230703,1.04697
AZ,20230704,1.54925
AZ,20230705,1.97274
AZ,20230706,1.45087
AZ,20230707,0.63468
AZ,20230708,0.638284
AZ,20230709,0.641889
AZ,20230710,0.60852
AZ,20230711,0.900007
AZ,20230712,1.00868
AZ,20230713,1.29559
AZ,20230714,1.87917
AZ,20230715,1.87082
AZ,20230716,1.7737
AZ,20230717,1.56624
AZ,20230718,1.62793
AZ,20230719,1.88482
AZ,20230720,1.94654
AZ,20230721,1.9179
AZ,20230722,1.59751
AZ,20230723,1.46869
AZ,20230724,1.57858
AZ,20230725,1.97685
AZ,20230726,1.93965
