GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
CO,OK,20230511,0.0
CO,OK,20230512,0.0
CO,OK,20230513,0.0
CO,OK,20230514,0.0
CO,OK,20230515,0.0
CO,OK,20230516,0.0
CO,OK,20230517,0.0
CO,OK,20230518,0.0
CO,OK,20230519,0.0
CO,OK,20230520,0.0
CO,OK,20230521,0.0
CO,OK,20230522,0.0
CO,OK,20230523,0.0
CO,OK,20230524,0.0
CO,OK,20230525,0.0
CO,OK,20230526,0.0
CO,OK,20230527,0.0
CO,OK,20230528,0.0
CO,OK,20230529,0.0
CO,OK,20230530,0.0
CO,OK,20230531,0.0
CO,OK,20230601,0.0
CO,OK,20230602,0.0
CO,OK,20230603,0.0
CO,OK,20230604,0.0
CO,OK,20230605,0.0
CO,OK,20230606,0.0
CO,OK,20230607,0.0
CO,OK,20230608,0.0
CO,OK,20230609,0.0
CO,OK,20230610,0.0
CO,OK,20230611,0.0
CO,OK,20230612,0.0
CO,OK,20230613,0.0
CO,OK,20230614,0.0
CO,OK,20230615,0.0
CO,OK,20230616,0.0
CO,OK,20230617,0.0
CO,OK,20230618,0.0
CO,OK,20230619,0.0
CO,OK,20230620,0.0
CO,OK,20230621,0.0
CO,OK,20230622,0.0
CO,OK,20230623,0.0
CO,OK,20230624,0.0
CO,OK,20230625,0.0
CO,OK,20230626,0.0
CO,OK,20230627,0.0
CO,OK,20230628,0.0
CO,OK,20230629,0.0
CO,OK,20230630,0.0
CO,OK,20230701,0.0
CO,OK,20230702,0.0
CO,OK,20230703,0.0
CO,OK,20230704,0.0
CO,OK,20230705,0.0
CO,OK,20230706,0.0
CO,OK,20230707,0.0
CO,OK,20230708,0.0
CO,OK,20230709,0.0
CO,OK,20230710,0.0
CO,OK,20230711,0.0
CO,OK,20230712,0.0
CO,OK,20230713,0.0
CO,OK,20230714,0.0
CO,OK,20230715,0.0
CO,OK,20230716,0.0
CO,OK,20230717,0.0
CO,OK,20230718,0.0
CO,OK,20230719,0.0
CO,OK,20230720,0.0
CO,OK,20230721,0.0
CO,OK,20230722,0.0
CO,OK,20230723,0.0
CO,OK,20230724,0.0
CO,OK,20230725,0.0
CO,OK,20230726,0.0
CO,OK,20230727,0.0
CO,OK,20230728,0.0
CO,OK,20230729,0.0
CO,OK,20230730,0.0
CO,OK,20230731,0.0
CO,OK,20230801,0.0
CO,OK,20230802,0.0
CO,OK,20230803,0.0
CO,OK,20230804,0.0
CO,OK,20230805,0.0
CO,OK,20230806,0.0
CO,OK,20230807,0.0
CO,OK,20230808,0.0
