GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
IN,salt cavern,2008,0,0,0
IN,salt cavern,2009,0,0,0
IN,salt cavern,2010,0,0,0
IN,salt cavern,2011,0,0,0
IN,salt cavern,2012,0,0,0
IN,salt cavern,2013,0,0,0
IN,salt cavern,2014,0,0,0
IN,salt cavern,2015,0,0,0
IN,salt cavern,2016,0,0,0
IN,salt cavern,2017,0,0,0
IN,salt cavern,2018,0,0,0
IN,salt cavern,2019,0,0,0
IN,salt cavern,2020,0,0,0
IN,salt cavern,2021,0,0,0
IN,salt cavern,2022,0,0,0
IA,aquifer,1999,88777042.8826203,0,88777042.8826203
IA,aquifer,2000,0,0,88777042.8826203
IA,aquifer,2001,0,0,88777042.8826203
IA,aquifer,2002,0,0,88777042.8826203
IA,aquifer,2003,0,0,88777042.8826203
IA,aquifer,2004,0,0,88777042.8826203
IA,aquifer,2005,0,0,88777042.8826203
IA,aquifer,2006,649905.145553589,0,89426948.0281739
IA,aquifer,2007,987205.916095898,0,90414153.9442698
IA,aquifer,2008,167796.055730194,0,90581950
IA,aquifer,2009,66368,0,90648318
IA,aquifer,2010,3317363,0,93965681
IA,aquifer,2011,518500,0,94484181
IA,aquifer,2012,0,829600,93654581
IA,aquifer,2013,0,0,93654581
IA,aquifer,2014,0,0,93654581
IA,aquifer,2015,0,0,93654581
IA,aquifer,2016,0,0,93654581
IA,aquifer,2017,0,0,93654581
IA,aquifer,2018,0,0,93654581
IA,aquifer,2019,0,0,93654581
IA,aquifer,2020,0,0,93654581
IA,aquifer,2021,0,0,93654581
IA,aquifer,2022,0,0,93654581
IA,depleted field,1999,0,0,0
IA,depleted field,2000,0,0,0
IA,depleted field,2001,0,0,0
IA,depleted field,2002,0,0,0
IA,depleted field,2003,0,0,0
IA,depleted field,2004,0,0,0
IA,depleted field,2005,0,0,0
IA,depleted field,2006,0,0,0
IA,depleted field,2007,0,0,0
IA,depleted field,2008,0,0,0
IA,depleted field,2009,0,0,0
IA,depleted field,2010,0,0,0
IA,depleted field,2011,0,0,0
IA,depleted field,2012,0,0,0
IA,depleted field,2013,0,0,0
IA,depleted field,2014,0,0,0
IA,depleted field,2015,0,0,0
IA,depleted field,2016,0,0,0
IA,depleted field,2017,0,0,0
IA,depleted field,2018,0,0,0
IA,depleted field,2019,0,0,0
IA,depleted field,2020,0,0,0
IA,depleted field,2021,0,0,0
IA,depleted field,2022,0,0,0
KS,aquifer,1999,0,0,0
KS,aquifer,2000,0,0,0
KS,aquifer,2001,0,0,0
KS,aquifer,2002,0,0,0
KS,aquifer,2003,0,0,0
KS,aquifer,2004,0,0,0
KS,aquifer,2005,0,0,0
KS,aquifer,2006,0,0,0
KS,aquifer,2007,0,0,0
KS,aquifer,2008,0,0,0
KS,aquifer,2009,0,0,0
KS,aquifer,2010,0,0,0
KS,aquifer,2011,0,0,0
KS,aquifer,2012,0,0,0
KS,aquifer,2013,0,0,0
KS,aquifer,2014,0,0,0
KS,aquifer,2015,0,0,0
KS,aquifer,2016,0,0,0
KS,aquifer,2017,0,0,0
KS,aquifer,2018,0,0,0
KS,aquifer,2019,0,0,0
KS,aquifer,2020,0,0,0
KS,aquifer,2021,0,0,0
KS,aquifer,2022,0,0,0
KS,depleted field,1999,134073759.469847,0,134073759.469847
KS,depleted field,2000,0,315466.608948842,133758292.860898
KS,depleted field,2001,495733.242633909,0,134254026.103532
KS,depleted field,2002,216319.960422069,0,134470346.063954
KS,depleted field,2003,0,5081716.4035818,129388629.660372
KS,depleted field,2004,564234.563434228,0,129952864.223806
KS,depleted field,2005,134298.642095372,0,130087162.865901
KS,depleted field,2006,0,612906.554529205,129474256.311372
KS,depleted field,2007,315917.275533065,0,129790173.586905
KS,depleted field,2008,0,6506428.58690536,123283745
KS,depleted field,2009,81923,0,123365668
KS,depleted field,2010,3992450,0,127358118
KS,depleted field,2011,37332,0,127395450
KS,depleted field,2012,122366,0,127517816
KS,depleted field,2013,2074,0,127519890
KS,depleted field,2014,10370,0,127530260
KS,depleted field,2015,0,0,127530260
KS,depleted field,2016,2074,0,127532334
KS,depleted field,2017,0,0,127532334
KS,depleted field,2018,0,0,127532334
KS,depleted field,2019,0,0,127532334
KS,depleted field,2020,0,0,127532334
KS,depleted field,2021,0,0,127532334
KS,depleted field,2022,0,0,127532334
KS,salt cavern,1999,2463912,0,2463912
KS,salt cavern,2000,0,0,2463912
KS,salt cavern,2001,0,0,2463912
KS,salt cavern,2002,0,1716525.36,747386.64
KS,salt cavern,2003,684.420000000042,0,748071.06
KS,salt cavern,2004,0,0,748071.06
KS,salt cavern,2005,0,0,748071.06
KS,salt cavern,2006,0,3422.09999999998,744648.96
KS,salt cavern,2007,0,107453.94,637195.02
KS,salt cavern,2008,0,248320.02,388875
KS,salt cavern,2009,0,0,388875
KS,salt cavern,2010,0,0,388875
KS,salt cavern,2011,0,0,388875
KS,salt cavern,2012,0,0,388875
KS,salt cavern,2013,0,0,388875
KS,salt cavern,2014,0,388875,0
KS,salt cavern,2015,0,0,0
KS,salt cavern,2016,0,0,0
KS,salt cavern,2017,0,0,0
KS,salt cavern,2018,0,0,0
KS,salt cavern,2019,0,0,0
KS,salt cavern,2020,0,0,0
KS,salt cavern,2021,0,0,0
KS,salt cavern,2022,0,0,0
KY,aquifer,1999,6372987.76299854,0,6372987.76299854
KY,aquifer,2000,0,0,6372987.76299854
KY,aquifer,2001,0,510931.495162526,5862056.26783601
KY,aquifer,2002,0,0,5862056.26783601
KY,aquifer,2003,510931.495162526,0,6372987.76299854
KY,aquifer,2004,0,0,6372987.76299854
KY,aquifer,2005,0,0,6372987.76299854
KY,aquifer,2006,0,0,6372987.76299854
KY,aquifer,2007,0,0,6372987.76299854
KY,aquifer,2008,501285.237001461,0,6874273
KY,aquifer,2009,0,0,6874273
KY,aquifer,2010,0,0,6874273
KY,aquifer,2011,0,0,6874273
KY,aquifer,2012,0,0,6874273
KY,aquifer,2013,0,0,6874273
KY,aquifer,2014,0,2084370,4789903
KY,aquifer,2015,0,0,4789903
KY,aquifer,2016,0,0,4789903
KY,aquifer,2017,4780570,0,9570473
KY,aquifer,2018,0,0,9570473
KY,aquifer,2019,0,0,9570473
KY,aquifer,2020,0,0,9570473
KY,aquifer,2021,0,0,9570473
KY,aquifer,2022,0,0,9570473
KY,depleted field,1999,103488874.043646,0,103488874.043646
KY,depleted field,2000,2952.04547049105,0,103491826.089117
KY,depleted field,2001,713410.988700613,0,104205237.077817
KY,depleted field,2002,0,0,104205237.077817
KY,depleted field,2003,0,275032.236333549,103930204.841484
KY,depleted field,2004,19680.3031365722,0,103949885.14462
KY,depleted field,2005,0,943178.527820051,103006706.6168
KY,depleted field,2006,0,262240.039294779,102744466.577506
KY,depleted field,2007,966794.891583934,0,103711261.46909
KY,depleted field,2008,0,5613135.46908952,98098126
KY,depleted field,2009,2340509,0,100438635
KY,depleted field,2010,4268292,0,104706927
KY,depleted field,2011,0,0,104706927
KY,depleted field,2012,0,0,104706927
KY,depleted field,2013,0,0,104706927
KY,depleted field,2014,2084370,0,106791297
KY,depleted field,2015,0,30073,106761224
KY,depleted field,2016,1037,0,106762261
KY,depleted field,2017,0,4702795,102059466
KY,depleted field,2018,0,52887,102006579
KY,depleted field,2019,0,0,102006579
KY,depleted field,2020,0,0,102006579
KY,depleted field,2021,0,0,102006579
KY,depleted field,2022,0,0,102006579
KY,salt cavern,1999,0,0,0
KY,salt cavern,2000,0,0,0
KY,salt cavern,2001,0,0,0
KY,salt cavern,2002,0,0,0
KY,salt cavern,2003,0,0,0
KY,salt cavern,2004,0,0,0
KY,salt cavern,2005,0,0,0
KY,salt cavern,2006,0,0,0
KY,salt cavern,2007,0,0,0
KY,salt cavern,2008,0,0,0
KY,salt cavern,2009,0,0,0
KY,salt cavern,2010,0,0,0
KY,salt cavern,2011,0,0,0
KY,salt cavern,2012,0,0,0
KY,salt cavern,2013,0,0,0
KY,salt cavern,2014,0,0,0
KY,salt cavern,2015,0,0,0
KY,salt cavern,2016,0,0,0
KY,salt cavern,2017,0,0,0
KY,salt cavern,2018,0,0,0
KY,salt cavern,2019,0,0,0
KY,salt cavern,2020,0,0,0
KY,salt cavern,2021,0,0,0
KY,salt cavern,2022,0,0,0
LA,aquifer,1999,0,0,0
LA,aquifer,2000,0,0,0
LA,aquifer,2001,0,0,0
LA,aquifer,2002,0,0,0
LA,aquifer,2003,0,0,0
LA,aquifer,2004,0,0,0
LA,aquifer,2005,0,0,0
LA,aquifer,2006,0,0,0
LA,aquifer,2007,0,0,0
LA,aquifer,2008,0,0,0
LA,aquifer,2009,0,0,0
LA,aquifer,2010,0,0,0
LA,aquifer,2011,0,0,0
LA,aquifer,2012,0,0,0
LA,aquifer,2013,0,0,0
LA,aquifer,2014,0,0,0
LA,aquifer,2015,0,0,0
LA,aquifer,2016,0,0,0
LA,aquifer,2017,0,0,0
LA,aquifer,2018,0,0,0
LA,aquifer,2019,0,0,0
LA,aquifer,2020,0,0,0
LA,aquifer,2021,0,0,0
LA,aquifer,2022,0,0,0
LA,depleted field,1999,312457815.098892,0,312457815.098892
LA,depleted field,2000,0,0,312457815.098892
LA,depleted field,2001,0,0,312457815.098892
LA,depleted field,2002,0,0,312457815.098892
LA,depleted field,2003,0,0,312457815.098892
LA,depleted field,2004,0,0,312457815.098892
LA,depleted field,2005,0,0,312457815.098892
LA,depleted field,2006,0,0,312457815.098892
LA,depleted field,2007,0,1988109.79469103,310469705.304201
LA,depleted field,2008,0,15397577.3042006,295072128
LA,depleted field,2009,0,0,295072128
LA,depleted field,2010,0,0,295072128
LA,depleted field,2011,1280695,0,296352823
LA,depleted field,2012,0,76736963,219615860
LA,depleted field,2013,83582200,0,303198060
LA,depleted field,2014,518500,0,303716560
LA,depleted field,2015,0,518500,303198060
LA,depleted field,2016,621163,0,303819223
LA,depleted field,2017,0,0,303819223
LA,depleted field,2018,0,0,303819223
LA,depleted field,2019,0,0,303819223
LA,depleted field,2020,0,0,303819223
LA,depleted field,2021,8847684,0,312666907
LA,depleted field,2022,0,0,312666907
LA,salt cavern,1999,24656895.2956082,0,24656895.2956082
LA,salt cavern,2000,3756152.0839189,0,28413047.3795271
LA,salt cavern,2001,5610770.50162281,0,34023817.8811499
LA,salt cavern,2002,7532096.53830343,0,41555914.4194533
LA,salt cavern,2003,3341245.35489897,0,44897159.7743523
LA,salt cavern,2004,1515215.91675652,0,46412375.6911088
LA,salt cavern,2005,0,0,46412375.6911088
LA,salt cavern,2006,3976800.36207261,0,50389176.0531814
LA,salt cavern,2007,0,5189266.31578101,45199909.7374004
LA,salt cavern,2008,14562400.2625996,0,59762310
LA,salt cavern,2009,27850709,0,87613019
LA,salt cavern,2010,16418821,0,104031840
LA,salt cavern,2011,11955573,0,115987413
LA,salt cavern,2012,92140561,0,208127974
