GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
IL,D,2019,0,782
IL,V,2019,0,3033
IL,H,2019,0,47043
IL,D,2011,0,782
IL,V,2011,0,3033
IL,H,2011,0,47041
IL,D,2012,0,782
IL,V,2012,0,3033
IL,H,2012,0,47041
IL,D,2016,0,782
IL,V,2016,0,3033
IL,H,2016,1,47043
IL,D,2017,0,782
IL,V,2017,0,3033
IL,H,2017,0,47043
IL,D,2014,0,782
IL,V,2014,0,3033
IL,H,2014,2,47043
IL,D,2015,0,782
IL,V,2015,0,3033
IL,H,2015,0,47043
IL,D,2007,0,781
IL,V,2007,0,3032
IL,H,2007,0,47033
IL,D,2009,0,782
IL,V,2009,0,3033
IL,H,2009,6,47041
IL,D,2006,0,781
IL,V,2006,0,3032
IL,H,2006,0,47033
IN,D,2005,0,786
IN,H,2005,0,47305
IN,V,2005,0,3050
IN,D,2008,0,786
IN,H,2008,0,47332
IN,V,2008,0,3051
IN,D,2003,3,785
IN,H,2003,174,47217
IN,V,2003,11,3044
IN,D,2014,0,794
IN,H,2014,0,47786
IN,V,2014,0,3081
IN,D,2015,0,794
IN,H,2015,4,47790
IN,V,2015,0,3081
IN,D,2007,0,786
IN,H,2007,13,47332
IN,V,2007,1,3051
IN,D,2011,5,792
IN,H,2011,272,47692
IN,V,2011,18,3075
IN,D,2013,2,794
IN,H,2013,94,47786
IN,V,2013,6,3081
IN,D,2018,0,794
IN,H,2018,0,47790
IN,V,2018,0,3081
IN,D,2019,0,794
IN,H,2019,0,47790
IN,V,2019,0,3081
IN,D,2016,0,794
IN,H,2016,0,47790
IN,V,2016,0,3081
IN,D,2017,0,794
IN,H,2017,0,47790
IN,V,2017,0,3081
IN,D,2004,1,786
IN,H,2004,88,47305
IN,V,2004,6,3050
IN,D,2006,0,786
IN,H,2006,14,47319
IN,V,2006,1,3051
IN,D,2020,0,794
IN,H,2020,0,47790
IN,V,2020,0,3081
IN,D,2012,0,792
IN,H,2012,0,47692
IN,V,2012,0,3075
IN,D,2010,1,788
IN,H,2010,53,47420
IN,V,2010,3,3057
IN,D,2009,1,787
IN,H,2009,35,47367
IN,V,2009,2,3054
KS,H,1996,0,205
KS,D,1996,0,24966
KS,V,1996,0,31698
KS,H,2010,3,238
KS,D,2010,396,28874
KS,V,2010,503,36660
KS,H,1994,0,196
KS,D,1994,0,23801
KS,V,1994,0,30218
KS,H,1995,10,205
KS,D,1995,1166,24966
KS,V,1995,1480,31698
KS,H,2009,12,234
KS,D,2009,1484,28478
KS,V,2009,1885,36157
KS,H,2011,12,249
KS,D,2011,1412,30287
KS,V,2011,1793,38453
KS,H,2012,0,249
KS,D,2012,0,30287
KS,V,2012,0,38453
KS,H,2013,0,249
KS,D,2013,0,30287
KS,V,2013,0,38453
KS,H,2018,0,249
KS,D,2018,0,30303
KS,V,2018,0,38474
KS,H,2015,0,249
KS,D,2015,0,30303
KS,V,2015,0,38474
KS,H,2016,0,249
KS,D,2016,0,30303
KS,V,2016,0,38474
KS,H,2017,0,249
KS,D,2017,0,30303
KS,V,2017,0,38474
KS,H,2014,0,249
KS,D,2014,17,30303
KS,V,2014,21,38474
KS,H,2006,3,222
KS,D,2006,337,26994
KS,V,2006,428,34273
KS,H,2007,0,222
KS,D,2007,0,26994
KS,V,2007,0,34273
KS,H,2008,0,222
KS,D,2008,0,26994
KS,V,2008,0,34273
KS,H,2004,3,216
KS,D,2004,322,26295
KS,V,2004,409,33385
KS,H,1997,0,206
KS,D,1997,49,25016
KS,V,1997,62,31761
KS,H,2019,0,249
KS,D,2019,0,30303
KS,V,2019,0,38474
KS,H,2020,0,249
KS,D,2020,0,30303
KS,V,2020,0,38474
KS,H,1998,0,206
KS,D,1998,0,25016
KS,V,1998,0,31761
KS,H,1999,0,206
KS,D,1999,0,25016
KS,V,1999,0,31761
KS,H,2000,0,206
KS,D,2000,0,25016
KS,V,2000,0,31761
KS,H,2001,1,206
KS,D,2001,66,25082
KS,V,2001,84,31845
