GAS_LINES,gas_line_gz1,gas_line_gz2,gas_line_length,gas_line_new_build_allowed,directional_gas_line_capital_cost_dmmbukm,general_gas_line_capital_cost_dmmbukm
AR_TN,AR,TN,576.0706697,0,0.935734773,1.403602159
OK_TX,OK,TX,524.7733974,0,0.905247174,1.357870761
KS_OK,KS,OK,320.850462,0,0.906419774,1.359629661
MO_OK,MO,OK,518.0114429,0,0.906419774,1.359629661
CO_OK,CO,OK,857.1605082,0,0.906419774,1.359629661
LA_TX,LA,TX,559.9754395,0,0.905247174,1.357870761
NM_TX,NM,TX,937.61417,0,0.905247174,1.357870761
AR_TX,AR,TX,644.7959905,0,0.905247174,1.357870761
NM_OK,NM,OK,873.7357759,0,0.905247174,1.357870761
CO_NM,CO,NM,552.96532,0,0.906419774,1.359629661
AR_OK,AR,OK,382.5977306,0,0.905247174,1.357870761
AR_LA,AR,LA,503.3214455,0,0.905247174,1.357870761
AZ_NM,AZ,NM,527.1210949,0,0.986156571,1.479234857
OR_WA,OR,WA,297.4552629,0,1.067065969,1.600598954
CA_OR,CA,OR,1068.301982,0,1.067065969,1.600598954
AZ_CA,AZ,CA,727.5695506,0,1.067065969,1.600598954
NV_OR,NV,OR,1009.789824,0,1.067065969,1.600598954
ID_WA,ID,WA,606.489076,0,1.067065969,1.600598954
CA_NV,CA,NV,332.7244613,0,1.067065969,1.600598954
ID_NV,ID,NV,803.5478404,0,1.067065969,1.600598954
AZ_NV,AZ,NV,569.4899528,0,1.067065969,1.600598954
ID_OR,ID,OR,588.7100799,0,1.067065969,1.600598954
