GAS_ZONES,LNG_storage_predet_build_year,LNG_storage_predet_cap,LNG_storage_removed_cap,LNG_storage_total_cap
KS,1985,0,0,0
KS,1986,0,0,0
KS,1987,0,0,0
KS,1988,0,0,0
KS,1989,0,0,0
KS,1990,0,0,0
KS,1991,0,0,0
KS,1992,0,0,0
KS,1993,0,0,0
KS,1994,0,0,0
KS,1995,0,0,0
KS,1996,0,0,0
KS,1997,0,0,0
KS,1998,0,0,0
KS,1999,0,0,0
KS,2000,0,0,0
KS,2001,0,0,0
KS,2002,0,0,0
KS,2003,0,0,0
KS,2004,0,0,0
KS,2005,0,0,0
KS,2006,0,0,0
KS,2007,0,0,0
KS,2008,0,0,0
KS,2009,0,0,0
KS,2010,0,0,0
KS,2011,0,0,0
KS,2012,0,0,0
KS,2013,0,0,0
KS,2014,0,0,0
KS,2015,0,0,0
KS,2016,0,0,0
KS,2017,0,0,0
KS,2018,0,0,0
KS,2019,0,0,0
KS,2020,0,0,0
KS,2021,0,0,0
KS,2022,0,0,0
KY,1973,0,0,0
KY,1974,0,0,0
KY,1975,0,0,0
KY,1976,0,0,0
KY,1977,0,0,0
KY,1978,0,0,0
KY,1979,0,0,0
KY,1980,0,0,0
KY,1981,0,0,0
KY,1982,0,0,0
KY,1983,0,0,0
KY,1984,0,0,0
KY,1985,0,0,0
KY,1986,0,0,0
KY,1987,0,0,0
KY,1988,0,0,0
KY,1989,0,0,0
KY,1990,0,0,0
KY,1991,0,0,0
KY,1992,0,0,0
KY,1993,0,0,0
KY,1994,0,0,0
KY,1995,0,0,0
KY,1996,0,0,0
KY,1997,0,0,0
KY,1998,0,0,0
KY,1999,0,0,0
KY,2000,0,0,0
KY,2001,0,0,0
KY,2002,0,0,0
KY,2003,0,0,0
KY,2004,0,0,0
KY,2005,0,0,0
KY,2006,0,0,0
KY,2007,0,0,0
KY,2008,0,0,0
KY,2009,0,0,0
KY,2010,0,0,0
KY,2011,0,0,0
KY,2012,0,0,0
KY,2013,0,0,0
KY,2014,0,0,0
KY,2015,0,0,0
KY,2016,0,0,0
KY,2017,0,0,0
KY,2018,0,0,0
KY,2019,0,0,0
KY,2020,0,0,0
KY,2021,0,0,0
KY,2022,0,0,0
LA,1973,0,0,0
LA,1974,0,0,0
LA,1975,0,0,0
LA,1976,0,0,0
LA,1977,0,0,0
LA,1978,0,0,0
LA,1979,0,0,0
LA,1980,0,0,0
LA,1981,0,0,0
LA,1982,15552000,0,15552000
LA,1983,0,0,15552000
LA,1984,0,0,15552000
LA,1985,0,0,15552000
LA,1986,0,0,15552000
LA,1987,0,0,15552000
LA,1988,0,0,15552000
LA,1989,0,0,15552000
LA,1990,0,0,15552000
LA,1991,0,0,15552000
LA,1992,0,0,15552000
LA,1993,0,0,15552000
LA,1994,0,0,15552000
LA,1995,0,0,15552000
LA,1996,0,0,15552000
LA,1997,0,0,15552000
LA,1998,0,0,15552000
LA,1999,0,0,15552000
LA,2000,0,0,15552000
LA,2001,0,0,15552000
LA,2002,0,0,15552000
LA,2003,0,0,15552000
LA,2004,0,0,15552000
LA,2005,0,0,15552000
LA,2006,0,0,15552000
LA,2007,0,0,15552000
LA,2008,28983450.24,0,44535450.24
LA,2009,18381254.4,0,62916704.64
LA,2010,0,47364704.64,15552000
LA,2011,0,0,15552000
LA,2012,0,0,15552000
LA,2013,0,0,15552000
LA,2014,0,0,15552000
LA,2015,0,0,15552000
LA,2016,0,0,15552000
LA,2017,0,0,15552000
LA,2018,18394968.68352,0,33946968.68352
LA,2019,0,18381254.4,15565714.28352
LA,2020,0,0,15565714.28352
LA,2021,0.276480000466108,0,15565714.56
LA,2022,0,0,15565714.56
MA,1973,0,0,22286799.36
MA,1974,148262.399999999,0,22435061.76
MA,1975,288000,0,22723061.76
MA,1976,0,0,22723061.76
MA,1977,0,0,22723061.76
MA,1978,0,0,22723061.76
MA,1979,0,0,22723061.76
MA,1980,0,0,22723061.76
MA,1981,0,0,22723061.76
MA,1982,0,0,22723061.76
MA,1983,0,0,22723061.76
MA,1984,0,0,22723061.76
MA,1985,0,0,22723061.76
MA,1986,0,0,22723061.76
MA,1987,0,0,22723061.76
MA,1988,0,0,22723061.76
MA,1989,0,0,22723061.76
MA,1990,0,0,22723061.76
MA,1991,0,0,22723061.76
MA,1992,0,0,22723061.76
MA,1993,0,0,22723061.76
MA,1994,0,0,22723061.76
MA,1995,0,0,22723061.76
MA,1996,0,0,22723061.76
MA,1997,0,0,22723061.76
MA,1998,0,0,22723061.76
MA,1999,0,0,22723061.76
MA,2000,19203.8399999999,0,22742265.6
MA,2001,0,0,22742265.6
MA,2002,0,0,22742265.6
MA,2003,0,0,22742265.6
MA,2004,0,0,22742265.6
MA,2005,0,0,22742265.6
MA,2006,0,0,22742265.6
MA,2007,0,0,22742265.6
MA,2008,0,0,22742265.6
MA,2009,0,0,22742265.6
MA,2010,0.00000000372529029846191,0,22742265.6
MA,2011,0,126720,22615545.6
MA,2012,0,0,22615545.6
MA,2013,0,0,22615545.6
MA,2014,0,6998.40000000224,22608547.2
MA,2015,0,0,22608547.2
MA,2016,51840,0,22660387.2
MA,2017,115.199999999255,0,22660502.4
MA,2018,0,0,22660502.4
MA,2019,0,0,22660502.4
MA,2020,0,0,22660502.4
MA,2021,0,0,22660502.4
MA,2022,0,0,22660502.4
MD,1973,0,0,1670400
MD,1974,0,0,1670400
MD,1975,0,0,1670400
MD,1976,0,0,1670400
MD,1977,0,0,1670400
MD,1978,25056000,0,26726400
MD,1979,0,0,26726400
MD,1980,0,0,26726400
MD,1981,0,0,26726400
MD,1982,0,0,26726400
MD,1983,0,0,26726400
MD,1984,0,0,26726400
MD,1985,0,0,26726400
MD,1986,0,0,26726400
MD,1987,0,0,26726400
MD,1988,0,0,26726400
MD,1989,0,0,26726400
MD,1990,0,0,26726400
