gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap
CT,RI,1999,0,0,788120
CT,RI,2000,0,0,788120
CT,RI,2001,0,0,788120
CT,RI,2002,0,0,788120
CT,RI,2003,0,0,788120
CT,RI,2004,0,0,788120
CT,RI,2005,0,0,788120
CT,RI,2006,0,0,788120
CT,RI,2007,0,0,788120
CT,RI,2008,0,0,788120
CT,RI,2009,0,0,788120
CT,RI,2010,0,0,788120
CT,RI,2011,0,0,788120
CT,RI,2012,0,0,788120
CT,RI,2013,0,0,788120
CT,RI,2014,0,0,788120
CT,RI,2015,0,0,788120
CT,RI,2016,354654,0,1142774
CT,RI,2017,41480,0,1184254
CT,RI,2018,0,0,1184254
CT,RI,2019,0,0,1184254
CT,RI,2020,0,0,1184254
CT,RI,2021,96441,0,1280695
CT,RI,2022,0,0,1280695
DE,MD,1990,10370,0,10370
DE,MD,1994,0,0,10370
DE,MD,1995,0,0,10370
DE,MD,1996,0,0,10370
DE,MD,1997,5185,0,15555
DE,MD,1998,1037,0,16592
DE,MD,1999,0,0,16592
DE,MD,2000,0,0,16592
DE,MD,2001,0,0,16592
DE,MD,2002,0,0,16592
DE,MD,2003,0,0,16592
DE,MD,2004,0,0,16592
DE,MD,2005,6222,0,22814
DE,MD,2006,0,0,22814
DE,MD,2007,0,0,22814
DE,MD,2008,0,0,22814
DE,MD,2009,0,0,22814
DE,MD,2010,0,0,22814
DE,MD,2011,0,0,22814
DE,MD,2012,0,0,22814
DE,MD,2013,0,0,22814
DE,MD,2014,0,0,22814
DE,MD,2015,0,0,22814
DE,MD,2016,0,0,22814
DE,MD,2017,0,0,22814
DE,MD,2018,0,0,22814
DE,MD,2019,0,0,22814
DE,MD,2020,0,0,22814
DE,MD,2021,14518,0,37332
DE,MD,2022,0,0,37332
DE,NJ,1990,0,0,0
DE,NJ,1994,146217,0,146217
DE,NJ,1995,0,0,146217
DE,NJ,1996,0,0,146217
DE,NJ,1997,0,0,146217
DE,NJ,1998,0,0,146217
DE,NJ,1999,0,0,146217
DE,NJ,2000,0,0,146217
DE,NJ,2001,0,0,146217
DE,NJ,2002,0,0,146217
DE,NJ,2003,0,0,146217
DE,NJ,2004,0,0,146217
DE,NJ,2005,0,0,146217
DE,NJ,2006,0,0,146217
DE,NJ,2007,0,0,146217
DE,NJ,2008,0,0,146217
DE,NJ,2009,0,0,146217
DE,NJ,2010,0,0,146217
DE,NJ,2011,0,0,146217
DE,NJ,2012,0,0,146217
DE,NJ,2013,0,0,146217
DE,NJ,2014,0,0,146217
DE,NJ,2015,0,0,146217
DE,NJ,2016,0,0,146217
DE,NJ,2017,0,0,146217
DE,NJ,2018,0,0,146217
DE,NJ,2019,0,0,146217
DE,NJ,2020,0,0,146217
DE,NJ,2021,0,0,146217
DE,NJ,2022,0,0,146217
GA,AL,2015,544425,0,544425
GA,AL,2016,0,0,544425
GA,AL,2017,466650,0,1011075
GA,AL,2018,751825,0,1762900
GA,AL,2019,0,0,1762900
GA,AL,2020,0,0,1762900
GA,AL,2021,306952,0,2069852
GA,AL,2022,0,0,2069852
GA,FL,1990,44591,0,44591
GA,FL,1994,13481,0,58072
GA,FL,1995,0,0,58072
GA,FL,1996,0,0,58072
GA,FL,1997,0,0,58072
GA,FL,1998,0,0,58072
GA,FL,1999,0,0,58072
GA,FL,2000,0,0,58072
GA,FL,2001,0,0,58072
GA,FL,2002,0,0,58072
GA,FL,2003,0,0,58072
GA,FL,2004,0,0,58072
GA,FL,2005,0,0,58072
GA,FL,2006,0,0,58072
GA,FL,2007,368135,0,426207
GA,FL,2008,0,0,426207
GA,FL,2009,0,0,426207
GA,FL,2010,0,0,426207
GA,FL,2011,0,0,426207
GA,FL,2012,0,0,426207
GA,FL,2013,0,0,426207
GA,FL,2014,0,0,426207
GA,FL,2015,0,0,426207
GA,FL,2016,243695,0,669902
GA,FL,2017,860710,0,1530612
GA,FL,2018,0,0,1530612
GA,FL,2019,0,0,1530612
GA,FL,2020,230214,0,1760826
GA,FL,2021,0,0,1760826
GA,FL,2022,0,0,1760826
GA,SC,1990,3315289,0,3315289
GA,SC,1994,50813,0,3366102
GA,SC,1995,119255,0,3485357
GA,SC,1996,57035,0,3542392
GA,SC,1997,197030,0,3739422
GA,SC,1998,0,0,3739422
GA,SC,1999,0,0,3739422
